latitud,longitud,victimas,genero,franja_horaria,fecha
-34.59035925,-58.51537091,1.0,1,0,2016-10-25
-34.55922742,-58.45909670,1.0,0,20,2016-10-27
-34.56539579,-58.42008769,1.0,0,23,2016-10-28
-34.56147293,-58.45566399,1.0,1,2,2016-10-31
-34.59276462,-58.37533517,1.0,1,23,2016-11-05
-34.68475866,-58.44451316,1.0,1,4,2016-11-06
-34.63343907,-58.35975012,1.0,1,12,2016-11-07
-34.55953855,-58.44523595,1.0,1,20,2016-11-07
-34.63036565,-58.39626094,1.0,0,20,2016-11-09
-34.61799615,-58.38896772,1.0,1,21,2016-11-16
-34.59484504,-58.46536113,1.0,1,22,2016-11-16
-34.65273216,-58.40879146,1.0,1,18,2016-11-18
-34.64991946,-58.46451841,1.0,1,21,2016-11-23
-34.59485488,-58.42917090,1.0,0,15,2016-11-25
-34.68251141,-58.49007772,1.0,1,14,2016-11-26
-34.62772274,-58.52756365,1.0,0,16,2016-11-26
-34.61943202,-58.40638983,1.0,1,19,2016-11-26
-34.61740997,-58.47576807,1.0,1,6,2016-12-03
-34.68475866,-58.44451316,1.0,1,7,2016-12-04
-34.63635787,-58.51927194,1.0,1,5,2016-12-06
-34.57866344,-58.42525456,1.0,1,7,2016-12-06
-34.58518167,-58.45396573,1.0,1,5,2016-12-07
-34.59798754,-58.52340614,1.0,1,7,2016-12-10
-34.64119105,-58.42323628,1.0,1,6,2016-12-11
-34.62841919,-58.36926144,1.0,1,8,2016-12-12
-34.64119105,-58.42323628,1.0,1,10,2016-12-13
-34.55676497,-58.47935434,1.0,1,15,2016-12-15
-34.56379980,-58.50598256,1.0,1,17,2016-12-19
-34.62150748,-58.36607137,1.0,0,19,2016-12-25
-34.63174259,-58.41918902,1.0,1,8,2016-12-26
-34.63551751,-58.46749188,1.0,1,19,2016-12-26
-34.62960517,-58.46064174,1.0,0,8,2016-12-27
-34.61232875,-58.36956186,1.0,1,1,2016-12-28
-34.58788235,-58.40966671,1.0,0,4,2016-12-29
-34.61544091,-58.40288226,1.0,0,16,2016-12-30
-34.61028571,-58.46594230,1.0,1,1,2017-01-02
-34.64410277,-58.38957669,1.0,1,3,2017-01-05
-34.61529543,-58.38161660,1.0,1,17,2017-01-11
-34.58494351,-58.43917004,1.0,1,0,2017-01-16
-34.62743346,-58.41595919,1.0,1,13,2017-01-16
-34.62828656,-58.43564880,1.0,1,16,2017-01-16
-34.54979510,-58.50073810,1.0,0,2,2017-01-22
-34.65055290,-58.40969005,1.0,1,14,2017-01-24
-34.65098981,-58.38972622,1.0,1,7,2017-01-27
-34.55046754,-58.49185972,1.0,0,8,2017-01-28
-34.59963642,-58.39293417,1.0,1,15,2017-02-02
-34.62288231,-58.38099494,1.0,1,5,2017-02-03
-34.58095431,-58.42901200,1.0,1,8,2017-02-06
-34.66977709,-58.50877521,1.0,1,7,2017-02-09
-34.60509972,-58.38362373,1.0,1,5,2017-02-18
-34.62955795,-58.46589308,1.0,1,20,2017-02-23
-34.65424640,-58.43614426,1.0,1,17,2017-02-24
-34.64979057,-58.41842777,2.0,0,5,2017-02-26
-34.64979057,-58.41842777,2.0,1,5,2017-02-26
-34.63193250,-58.38332245,1.0,1,21,2017-02-26
-34.61196327,-58.45475488,1.0,1,9,2017-02-28
-34.64742455,-58.48501341,1.0,1,2,2017-03-07
-34.65872088,-58.47010988,1.0,0,8,2017-03-07
-34.62873635,-58.40997560,1.0,1,1,2017-03-11
-34.68359163,-58.48892175,1.0,0,5,2017-03-12
-34.60325478,-58.52466448,1.0,1,7,2017-03-12
-34.57929036,-58.42554218,1.0,1,7,2017-03-13
-34.61113641,-58.35881506,3.0,1,5,2017-03-23
-34.61113641,-58.35881506,3.0,1,5,2017-03-23
-34.61113641,-58.35881506,3.0,1,5,2017-03-23
-34.58159762,-58.51452347,2.0,0,18,2017-03-29
-34.58159762,-58.51452347,2.0,1,18,2017-03-29
-34.61799615,-58.38896772,1.0,1,3,2017-03-31
-34.64363363,-58.44516857,1.0,0,19,2017-04-01
-34.54560369,-58.43834197,1.0,1,9,2017-04-03
-34.63531854,-58.45485084,1.0,1,23,2017-04-03
.,.,1.0,1,9,2017-04-10
-34.62454175,-58.52449285,1.0,1,6,2017-04-14
-34.67198790,-58.46713742,1.0,1,6,2017-04-23
-34.65554754,-58.43850413,1.0,1,18,2017-04-27
.,.,2.0,1,11,2017-04-28
.,.,2.0,1,11,2017-04-28
.,.,1.0,1,3,2017-05-01
