ID,FECHA_x,AAAA_x,MM_x,DD_x,ROL,VICTIMA_x,SEXO,EDAD,N_VICTIMAS,HH,TIPO_DE_CALLE,COMUNA,NOMBRE_COMUNA,longitud,latitud,VICTIMA_y,ACUSADO,Grupo_Etario
2016-0037,2016-03-19,2016,3,19,CONDUCTOR,MOTO,1,20,1.0,11,AVENIDA,7,Flores y Parque Chacabuco.,-58.46275892,-34.64358293,MOTO,MOTO,Joven Adulto
2016-0038,2016-03-21,2016,3,21,PEATON,PEATON,1,29,1.0,8,GRAL PAZ,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.49683458,-34.67892743,PEATON,PASAJEROS,Joven Adulto
2016-0039,2016-03-23,2016,3,23,CONDUCTOR,MOTO,1,20,1.0,1,AVENIDA,3,Balvanera y San Cristóbal.,-58.40603217,-34.60883960,MOTO,PASAJEROS,Joven Adulto
2016-0041,2016-03-29,2016,3,29,CONDUCTOR,MOTO,1,54,2.0,11,AVENIDA,7,Flores y Parque Chacabuco.,-58.46076550,-34.63350444,MOTO,CARGAS,Adulto Mayor
2016-0041,2016-03-29,2016,3,29,PASAJERO_ACOMPAÑANTE,MOTO,1,42,2.0,11,AVENIDA,7,Flores y Parque Chacabuco.,-58.46076550,-34.63350444,MOTO,CARGAS,Adulto
2016-0043,2016-03-30,2016,3,30,PEATON,PEATON,0,56,1.0,18,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.47832463,-34.67494416,PEATON,CARGAS,Adulto Mayor
2016-0044,2016-03-31,2016,3,31,CONDUCTOR,MOTO,1,24,1.0,19,AVENIDA,7,Flores y Parque Chacabuco.,-58.43213235,-34.63693953,MOTO,MULTIPLE,Joven Adulto
2016-0045,2016-04-11,2016,4,11,CONDUCTOR,MOTO,1,42,1.0,10,GRAL PAZ,13,"Núñez, Belgrano y Colegiales.",-58.46743471,-34.53476874,MOTO,AUTO,Adulto
2016-0047,2016-04-15,2016,4,15,PEATON,PEATON,1,41,1.0,5,CALLE,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.38247061,-34.62571878,PEATON,PASAJEROS,Adulto
2016-0048,2016-04-15,2016,4,15,PEATON,PEATON,0,42,1.0,17,AVENIDA,15,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas.",-58.44759966,-34.59170240,PEATON,PASAJEROS,Adulto
2016-0049,2016-04-17,2016,4,17,PEATON,MOTO,1,42,1.0,0,AUTOPISTA,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.37714647568196,-34.63657525428238,SD,PASAJEROS,Adulto
2016-0050,2016-04-19,2016,4,19,PEATON,PEATON,1,78,1.0,9,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.47305463,-34.68550712,PEATON,PASAJEROS,Anciano
2016-0051,2016-04-20,2016,4,20,CONDUCTOR,MOTO,1,36,1.0,4,AVENIDA,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.40623949,-34.65076549,MOTO,CARGAS,Adulto
2016-0052,2016-04-20,2016,4,20,CONDUCTOR,MOTO,1,42,1.0,20,AUTOPISTA,13,"Núñez, Belgrano y Colegiales.",.,.,MOTO,PASAJEROS,Adulto
2016-0053,2016-04-22,2016,4,22,PEATON,PEATON,1,38,1.0,9,AVENIDA,12,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",-58.48429180,-34.57558053,PEATON,PASAJEROS,Adulto
2016-0054,2016-04-23,2016,4,23,CONDUCTOR,MOTO,1,30,1.0,21,AUTOPISTA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.48695354,-34.68795245,MOTO,MOTO,Joven Adulto
2016-0055,2016-04-25,2016,4,25,PEATON,PEATON,1,79,1.0,20,AVENIDA,14,Palermo.,-58.40021959,-34.57964781,PEATON,CARGAS,Anciano
2016-0056,2016-04-26,2016,4,26,CONDUCTOR,MOTO,1,26,1.0,4,AVENIDA,14,Palermo.,-58.42957885,-34.57660058,MOTO,OBJETO FIJO,Joven Adulto
2016-0058,2016-05-04,2016,5,4,PEATON,PEATON,0,57,1.0,14,CALLE,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.38247542,-34.62556293,PEATON,MOTO,Adulto Mayor
2016-0059,2016-05-08,2016,5,8,PEATON,PEATON,1,37,1.0,16,CALLE,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.38222219,-34.62728101,PEATON,PASAJEROS,Adulto
2016-0064,2016-05-14,2016,5,14,PEATON,PEATON,1,20,1.0,18,AVENIDA,10,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.",-58.49485242,-34.62953445,PEATON,PASAJEROS,Joven Adulto
2016-0065,2016-05-20,2016,5,20,PEATON,PEATON,1,20,1.0,14,AVENIDA,6,Caballito.,-58.45227946,-34.61068024,PEATON,AUTO,Joven Adulto
2016-0067,2016-05-21,2016,5,21,PASAJERO_ACOMPAÑANTE,MOTO,0,30,1.0,17,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.48455411,-34.67512760,MOTO,PASAJEROS,Joven Adulto
2016-0068,2016-05-22,2016,5,22,CONDUCTOR,MOTO,1,58,1.0,22,AVENIDA,2,Recoleta.,-58.39056593,-34.58418569,MOTO,PASAJEROS,Adulto Mayor
2016-0069,2016-05-23,2016,5,23,CONDUCTOR,AUTO,1,30,1.0,3,AVENIDA,3,Balvanera y San Cristóbal.,-58.39118948,-34.62704273,AUTO,CARGAS,Joven Adulto
2016-0073,2016-06-11,2016,6,11,CONDUCTOR,MOTO,1,23,1.0,15,CALLE,10,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.",-58.49021952,-34.62025108,MOTO,CARGAS,Joven Adulto
2016-0074,2016-06-12,2016,6,12,CONDUCTOR,AUTO,1,60,1.0,6,GRAL PAZ,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.49896559,-34.67732118,AUTO,AUTO,Adulto Mayor
2016-0075,2016-06-12,2016,6,12,PEATON,PEATON,1,42,1.0,23,AUTOPISTA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.47461076,-34.66874679,PEATON,AUTO,Adulto
2016-0076,2016-06-13,2016,6,13,PEATON,PEATON,0,53,1.0,16,AVENIDA,15,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas.",-58.46210891,-34.60356211,PEATON,PASAJEROS,Adulto Mayor
2016-0077,2016-06-13,2016,6,13,PEATON,PEATON,0,42,1.0,21,AVENIDA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.37027770,-34.60536123,PEATON,PASAJEROS,Adulto
2016-0078,2016-06-13,2016,6,13,CONDUCTOR,MOTO,1,30,1.0,23,AVENIDA,3,Balvanera y San Cristóbal.,-58.40491455,-34.61463830,MOTO,MOTO,Joven Adulto
2016-0079,2016-06-16,2016,6,16,CONDUCTOR,AUTO,0,51,1.0,17,AVENIDA,13,"Núñez, Belgrano y Colegiales.",-58.45504154,-34.54864492,AUTO,AUTO,Adulto Mayor
2016-0080,2016-06-18,2016,6,18,CONDUCTOR,AUTO,1,60,1.0,6,GRAL PAZ,9,"Liniers, Mataderos y Parque Avellaneda.",-58.52927982,-34.63931752,AUTO,AUTO,Adulto Mayor
2016-0081,2016-06-22,2016,6,22,CONDUCTOR,MOTO,1,40,1.0,7,AVENIDA,12,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",-58.48721060,-34.55904606,MOTO,AUTO,Adulto
2016-0082,2016-06-27,2016,6,27,PEATON,PEATON,1,87,1.0,18,AVENIDA,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.42273092,-34.64228803,PEATON,AUTO,Anciano
2016-0083,2016-06-28,2016,6,28,PEATON,PEATON,0,76,1.0,20,AVENIDA,6,Caballito.,-58.44788671,-34.62539009,PEATON,MOTO,Anciano
2016-0084,2016-06-29,2016,6,29,PEATON,PEATON,1,57,1.0,22,CALLE,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.38110563,-34.60135531,PEATON,PASAJEROS,Adulto Mayor
2016-0085,2016-06-29,2016,6,29,PEATON,MOTO,1,42,1.0,22,AVENIDA,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.42378834,-34.65734100,MOTO,OTRO,Adulto
2016-0086,2016-06-30,2016,6,30,PEATON,PEATON,1,75,1.0,16,AVENIDA,10,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.",-58.48727942,-34.63652467,PEATON,PASAJEROS,Anciano
2016-0087,2016-07-03,2016,7,3,CONDUCTOR,MOTO,1,23,1.0,0,AUTOPISTA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.37864583,-34.62907067,MOTO,OBJETO FIJO,Joven Adulto
2016-0088,2016-07-11,2016,7,11,PEATON,PEATON,0,70,1.0,15,CALLE,12,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",-58.50151750,-34.56767549,PEATON,AUTO,Anciano
2016-0089,2016-07-14,2016,7,14,PEATON,PEATON,1,35,1.0,6,AUTOPISTA,13,"Núñez, Belgrano y Colegiales.",-58.43233425,-34.55185825,PEATON,AUTO,Adulto
2016-0090,2016-07-14,2016,7,14,PEATON,PEATON,1,60,1.0,22,AVENIDA,5,Almagro y Boedo.,-58.41971993,-34.61112240,PEATON,PASAJEROS,Adulto Mayor
2016-0092,2016-07-15,2016,7,15,CONDUCTOR,MOTO,1,24,1.0,11,GRAL PAZ,13,"Núñez, Belgrano y Colegiales.",-58.46743471,-34.53476874,MOTO,CARGAS,Joven Adulto
2016-0093,2016-07-17,2016,7,17,CONDUCTOR,AUTO,1,35,1.0,3,AVENIDA,6,Caballito.,-58.44362126,-34.62301748,AUTO,AUTO,Adulto
2016-0095,2016-07-23,2016,7,23,CONDUCTOR,MOTO,1,29,1.0,6,AVENIDA,11,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita.",-58.51713095,-34.59546519,MOTO,AUTO,Joven Adulto
2016-0096,2016-07-25,2016,7,25,CONDUCTOR,MOTO,1,42,1.0,7,AUTOPISTA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.47433193007387,-34.66684950051973,MOTO,CARGAS,Adulto
2016-0097,2016-07-26,2016,7,26,PEATON,PEATON,1,80,1.0,18,CALLE,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.39038605,-34.61562810,PEATON,AUTO,Anciano
2016-0098,2016-07-27,2016,7,27,CONDUCTOR,MOTO,0,43,1.0,16,AVENIDA,3,Balvanera y San Cristóbal.,-58.40042405,-34.62356174,MOTO,CARGAS,Adulto
2016-0099,2016-07-29,2016,7,29,CONDUCTOR,CARGAS,1,45,1.0,16,GRAL PAZ,11,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita.",-58.52340614,-34.59798754,CARGAS,CARGAS,Adulto
2016-0100,2016-08-03,2016,8,3,CONDUCTOR,MOTO,1,57,1.0,23,GRAL PAZ,12,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",-58.49491054,-34.54795581,MOTO,OBJETO FIJO,Adulto Mayor
2016-0101,2016-08-07,2016,8,7,PEATON,MOTO,1,67,1.0,19,GRAL PAZ,9,"Liniers, Mataderos y Parque Avellaneda.",-58.52932872,-34.65014993,SD,PASAJEROS,Anciano
2016-0102,2016-08-10,2016,8,10,CONDUCTOR,MOTO,1,29,1.0,23,AVENIDA,9,"Liniers, Mataderos y Parque Avellaneda.",-58.50011639,-34.67316502,MOTO,CARGAS,Joven Adulto
2016-0104,2016-08-14,2016,8,14,CONDUCTOR,MOTO,1,21,1.0,21,AVENIDA,9,"Liniers, Mataderos y Parque Avellaneda.",-58.46635001,-34.65624369,MOTO,PASAJEROS,Joven Adulto
2016-0105,2016-08-17,2016,8,17,PEATON,PEATON,1,19,1.0,0,AVENIDA,15,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas.",-58.45343236,-34.58435809,PEATON,PASAJEROS,Joven Adulto
2016-0106,2016-08-19,2016,8,19,PEATON,PEATON,1,38,1.0,21,AVENIDA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.38090932,-34.58927731,PEATON,PASAJEROS,Adulto
2016-0107,2016-08-20,2016,8,20,CONDUCTOR,MOTO,1,21,1.0,8,AUTOPISTA,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.37157668,-34.65429986,MOTO,AUTO,Joven Adulto
2016-0109,2016-08-24,2016,8,24,CONDUCTOR,AUTO,0,53,1.0,5,AUTOPISTA,9,"Liniers, Mataderos y Parque Avellaneda.",-58.52280139,-34.63659934,AUTO,OBJETO FIJO,Adulto Mayor
2016-0110,2016-08-24,2016,8,24,PEATON,PEATON,1,57,1.0,20,AVENIDA,9,"Liniers, Mataderos y Parque Avellaneda.",-58.51232237,-34.65903530,PEATON,CARGAS,Adulto Mayor
2016-0111,2016-08-25,2016,8,25,CONDUCTOR,MOTO,1,27,1.0,9,AUTOPISTA,15,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas.",-58.47461905,-34.57663634,MOTO,CARGAS,Joven Adulto
2016-0112,2016-08-27,2016,8,27,CONDUCTOR,MOTO,1,24,1.0,4,AUTOPISTA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.38268809,-34.62282019,MOTO,OBJETO FIJO,Joven Adulto
2016-0113,2016-08-27,2016,8,27,PEATON,PEATON,0,60,1.0,16,AVENIDA,9,"Liniers, Mataderos y Parque Avellaneda.",-58.49603546,-34.64564271,PEATON,PASAJEROS,Adulto Mayor
2016-0114,2016-08-31,2016,8,31,CICLISTA,BICICLETA,0,55,1.0,11,CALLE,14,Palermo.,-58.41848605,-34.59394733,BICICLETA,CARGAS,Adulto Mayor
2016-0115,2016-09-02,2016,9,2,CONDUCTOR,PEATON,1,42,1.0,11,CALLE,12,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",-58.48935041,-34.54917673,SD,CARGAS,Adulto
2016-0116,2016-09-02,2016,9,2,CONDUCTOR,MOTO,1,30,1.0,20,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.44451316,-34.68475866,MOTO,AUTO,Joven Adulto
2016-0117,2016-09-03,2016,9,3,CONDUCTOR,AUTO,1,43,1.0,15,AVENIDA,14,Palermo.,-58.39936478,-34.58271474,AUTO,AUTO,Adulto
2016-0118,2016-09-04,2016,9,4,CONDUCTOR,AUTO,1,27,1.0,3,AUTOPISTA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.37936704,-34.62694503,AUTO,AUTO,Joven Adulto
2016-0119,2016-09-04,2016,9,4,PASAJERO_ACOMPAÑANTE,MOTO,0,42,1.0,6,AVENIDA,12,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",-58.49659234,-34.56353635,SD,CARGAS,Adulto
2016-0122,2016-09-13,2016,9,13,CICLISTA,BICICLETA,1,49,1.0,7,AVENIDA,9,"Liniers, Mataderos y Parque Avellaneda.",-58.47256391,-34.65194557,BICICLETA,PASAJEROS,Adulto
2016-0123,2016-09-14,2016,9,14,CONDUCTOR,MOTO,0,58,1.0,9,AVENIDA,7,Flores y Parque Chacabuco.,-58.45130953,-34.64053676,MOTO,AUTO,Adulto Mayor
2016-0124,2016-09-16,2016,9,16,PEATON,PEATON,1,67,1.0,15,AVENIDA,7,Flores y Parque Chacabuco.,-58.46271207,-34.62884871,PEATON,PASAJEROS,Anciano
2016-0125,2016-09-17,2016,9,17,CONDUCTOR,MOTO,1,30,1.0,12,AUTOPISTA,10,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.",-58.49020869,-34.64243791,MOTO,MOTO,Joven Adulto
2016-0126,2016-09-18,2016,9,18,CONDUCTOR,AUTO,1,37,2.0,22,CALLE,10,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.",-58.52572109,-34.62125906,AUTO,CARGAS,Adulto
2016-0126,2016-09-18,2016,9,18,PASAJERO_ACOMPAÑANTE,AUTO,1,60,2.0,22,CALLE,10,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.",-58.52572109,-34.62125906,AUTO,CARGAS,Adulto Mayor
2016-0127,2016-09-24,2016,9,24,PEATON,PEATON,1,50,1.0,10,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.44094791,-34.66677111,PEATON,PASAJEROS,Adulto Mayor
2016-0128,2016-10-02,2016,10,2,PEATON,PEATON,0,81,1.0,11,AVENIDA,5,Almagro y Boedo.,-58.41914024,-34.63053890,PEATON,PASAJEROS,Anciano
2016-0130,2016-10-04,2016,10,4,CONDUCTOR,MOTO,1,29,1.0,12,AUTOPISTA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.37910942,-34.62764717,MOTO,CARGAS,Joven Adulto
2016-0131,2016-10-09,2016,10,9,PEATON,PEATON,1,35,1.0,19,CALLE,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.39871183,-34.64539318,PEATON,AUTO,Adulto
2016-0132,2016-10-10,2016,10,10,PASAJERO_ACOMPAÑANTE,AUTO,1,30,1.0,2,AVENIDA,3,Balvanera y San Cristóbal.,-58.41036975,-34.62477021,AUTO,PASAJEROS,Joven Adulto
2016-0133,2016-10-14,2016,10,14,CONDUCTOR,MOTO,1,41,1.0,0,AVENIDA,14,Palermo.,-58.40204698,-34.58342690,MOTO,AUTO,Adulto
2016-0134,2016-10-23,2016,10,23,CONDUCTOR,MOTO,1,25,1.0,5,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.48935287,-34.67648597,MOTO,OBJETO FIJO,Joven Adulto
2016-0135,2016-10-24,2016,10,24,PEATON,PEATON,1,29,1.0,5,AVENIDA,14,Palermo.,-58.42260225,-34.56403694,PEATON,PASAJEROS,Joven Adulto
2016-0136,2016-10-25,2016,10,25,CONDUCTOR,MOTO,0,42,1.0,0,AUTOPISTA,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",.,.,MOTO,CARGAS,Adulto
2016-0137,2016-10-25,2016,10,25,CONDUCTOR,MOTO,1,30,1.0,0,AVENIDA,11,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita.",-58.51537091,-34.59035925,MOTO,MOTO,Joven Adulto
2016-0138,2016-10-27,2016,10,27,CICLISTA,BICICLETA,0,33,1.0,20,AVENIDA,13,"Núñez, Belgrano y Colegiales.",-58.45909670,-34.55922742,BICICLETA,CARGAS,Joven Adulto
2016-0139,2016-10-28,2016,10,28,PASAJERO_ACOMPAÑANTE,MOTO,0,35,1.0,23,AVENIDA,14,Palermo.,-58.42008769,-34.56539579,MOTO,MOTO,Adulto
2016-0140,2016-10-31,2016,10,31,PASAJERO_ACOMPAÑANTE,PASAJEROS,1,20,1.0,2,AVENIDA,13,"Núñez, Belgrano y Colegiales.",-58.45566399,-34.56147293,PASAJEROS,PASAJEROS,Joven Adulto
2016-0142,2016-11-05,2016,11,5,CONDUCTOR,MOTO,1,46,1.0,23,AVENIDA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.37533517,-34.59276462,MOTO,PASAJEROS,Adulto
2016-0143,2016-11-06,2016,11,6,CONDUCTOR,MOTO,1,35,1.0,4,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.44451316,-34.68475866,MOTO,CARGAS,Adulto
2016-0144,2016-11-07,2016,11,7,PEATON,PEATON,1,83,1.0,12,AVENIDA,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.35975012,-34.63343907,PEATON,PASAJEROS,Anciano
